{Density, Cycles} {0, 910} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 415} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 415} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 415} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 419} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 419} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 419} 
{Density, Cycles} {0, 413} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 405} 
{Density, Cycles} {0, 485} 
